image_id,image_ref,label_source,usable_for_training,material_category,sub_category,material_code,weight_kg,city,month,lighting,background,hand_for_scale,split
IMG900000,img/pilot/0000.jpg,field_capture_pilot,True,Cable,Mixed insulated,CBL-MIX,78.3,Aurangabad,2025-04,indoor_tube,floor_mat,False,train
IMG900001,img/pilot/0001.jpg,field_capture_pilot,True,CRT,Monochrome monitor tube,CRT-MON,68.9,Pune,2025-03,low_light,cluttered_yard,False,test
IMG900002,img/pilot/0002.jpg,field_capture_pilot,True,CRT,Deflection yoke,CRT-YOK,21.3,Mumbai,2026-04,daylight,cart,False,train
IMG900003,img/pilot/0003.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,28.0,Pune,2026-02,indoor_tube,shop_counter,False,train
IMG900004,img/pilot/0004.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,23.2,Pune,2025-07,daylight,cluttered_yard,False,train
IMG900005,img/pilot/0005.jpg,field_capture_pilot,True,CRT,Deflection yoke,CRT-YOK,91.9,Mumbai,2025-08,daylight,shop_counter,False,val
IMG900006,img/pilot/0006.jpg,field_capture_pilot,True,Cable,Mixed insulated,CBL-MIX,22.9,Pune,2025-11,indoor_tube,floor_mat,False,train
IMG900007,img/pilot/0007.jpg,field_capture_pilot,True,Mixed plastic,HIPS,PLA-HIPS,8.4,Nashik,2026-07,flash,cluttered_yard,False,train
IMG900008,img/pilot/0008.jpg,field_capture_pilot,True,Cable,Armoured / data cable,CBL-ARM,14.7,Pune,2025-07,daylight,cart,True,val
IMG900009,img/pilot/0009.jpg,field_capture_pilot,True,LCD/LED panel,Backlight assembly,LCD-BLA,11.9,Pune,2025-05,daylight,floor_mat,False,val
IMG900010,img/pilot/0010.jpg,field_capture_pilot,True,Battery,Li-ion laptop / phone pack,BAT-LI,1.0,Pune,2026-01,daylight,cluttered_yard,True,train
IMG900011,img/pilot/0011.jpg,field_capture_pilot,True,Battery,Li-ion laptop / phone pack,BAT-LI,2.9,Nashik,2025-05,flash,cluttered_yard,True,val
IMG900012,img/pilot/0012.jpg,field_capture_pilot,True,Motor & magnet-bearing,Compressor motor,MTR-CMP,5.6,Mumbai,2026-05,low_light,cluttered_yard,False,test
IMG900013,img/pilot/0013.jpg,field_capture_pilot,True,PCB,RAM / gold-finger,PCB-RAM,11.9,Mumbai,2026-06,indoor_tube,floor_mat,False,val
IMG900014,img/pilot/0014.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,50.4,Aurangabad,2025-08,indoor_tube,floor_mat,True,train
IMG900015,img/pilot/0015.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,19.3,Pune,2026-06,shade,floor_mat,False,val
IMG900016,img/pilot/0016.jpg,field_capture_pilot,True,Motor & magnet-bearing,Speaker magnet,MTR-SPK,10.6,Nashik,2025-04,daylight,floor_mat,False,train
IMG900017,img/pilot/0017.jpg,field_capture_pilot,True,Mixed plastic,HIPS,PLA-HIPS,98.5,Pune,2026-02,low_light,floor_mat,False,train
IMG900018,img/pilot/0018.jpg,field_capture_pilot,True,Cable,Mixed insulated,CBL-MIX,25.5,Aurangabad,2026-08,low_light,cart,True,train
IMG900019,img/pilot/0019.jpg,field_capture_pilot,True,LCD/LED panel,Laptop panel,LCD-LAP,15.0,Nagpur,2026-06,daylight,cart,True,train
IMG900020,img/pilot/0020.jpg,field_capture_pilot,True,PCB,RAM / gold-finger,PCB-RAM,1.2,Pune,2026-05,shade,cart,True,train
IMG900021,img/pilot/0021.jpg,field_capture_pilot,True,PCB,GPU / add-on card,PCB-GPU,17.9,Nagpur,2025-11,daylight,floor_mat,False,train
IMG900022,img/pilot/0022.jpg,field_capture_pilot,True,PCB,Motherboard (high grade),PCB-MBH,6.6,Mumbai,2025-10,low_light,cluttered_yard,True,test
IMG900023,img/pilot/0023.jpg,field_capture_pilot,True,Cable,Aluminium cable,CBL-AL,1.7,Mumbai,2025-09,daylight,cluttered_yard,True,train
IMG900024,img/pilot/0024.jpg,field_capture_pilot,True,Motor & magnet-bearing,HDD assembly,MTR-HDD,35.0,Aurangabad,2026-07,indoor_tube,cluttered_yard,True,train
IMG900025,img/pilot/0025.jpg,field_capture_pilot,True,Battery,Lead-acid,BAT-PB,14.4,Mumbai,2025-05,daylight,cluttered_yard,True,train
IMG900026,img/pilot/0026.jpg,field_capture_pilot,True,LCD/LED panel,Monitor panel,LCD-MON,21.3,Aurangabad,2026-07,indoor_tube,floor_mat,False,val
IMG900027,img/pilot/0027.jpg,field_capture_pilot,True,Mixed plastic,HIPS,PLA-HIPS,42.1,Pune,2026-07,low_light,shop_counter,False,test
IMG900028,img/pilot/0028.jpg,field_capture_pilot,True,CRT,Deflection yoke,CRT-YOK,44.4,Pimpri-Chinchwad,2025-05,daylight,floor_mat,True,train
IMG900029,img/pilot/0029.jpg,field_capture_pilot,True,Battery,Ni-MH,BAT-NIMH,23.0,Nashik,2026-05,daylight,plain,True,val
IMG900030,img/pilot/0030.jpg,field_capture_pilot,True,Battery,Li-ion laptop / phone pack,BAT-LI,4.9,Mumbai,2026-01,flash,cluttered_yard,True,test
IMG900031,img/pilot/0031.jpg,field_capture_pilot,True,Mixed plastic,PC/ABS blend,PLA-PCABS,45.9,Mumbai,2025-09,daylight,cart,False,train
IMG900032,img/pilot/0032.jpg,field_capture_pilot,True,Cable,Armoured / data cable,CBL-ARM,35.8,Nashik,2026-03,shade,cluttered_yard,False,train
IMG900033,img/pilot/0033.jpg,field_capture_pilot,True,Mixed plastic,Mixed dirty,PLA-MIX,56.3,Mumbai,2026-02,daylight,cart,True,train
IMG900034,img/pilot/0034.jpg,field_capture_pilot,True,Battery,Ni-MH,BAT-NIMH,3.8,Mumbai,2025-11,indoor_tube,shop_counter,False,train
IMG900035,img/pilot/0035.jpg,field_capture_pilot,True,CRT,Colour TV tube,CRT-CTV,59.4,Pimpri-Chinchwad,2026-01,daylight,floor_mat,False,val
IMG900036,img/pilot/0036.jpg,field_capture_pilot,True,Cable,Armoured / data cable,CBL-ARM,32.0,Nagpur,2025-06,low_light,cluttered_yard,False,train
IMG900037,img/pilot/0037.jpg,field_capture_pilot,True,PCB,Mixed populated board,PCB-MIX,4.8,Aurangabad,2025-05,low_light,plain,True,train
IMG900038,img/pilot/0038.jpg,field_capture_pilot,True,LCD/LED panel,Monitor panel,LCD-MON,11.1,Aurangabad,2026-06,shade,cluttered_yard,False,val
IMG900039,img/pilot/0039.jpg,field_capture_pilot,True,Mixed plastic,PC/ABS blend,PLA-PCABS,43.4,Mumbai,2025-11,shade,cluttered_yard,False,train
IMG900040,img/pilot/0040.jpg,field_capture_pilot,True,PCB,TV / appliance board (low grade),PCB-LOW,7.3,Mumbai,2026-07,daylight,shop_counter,False,test
IMG900041,img/pilot/0041.jpg,field_capture_pilot,True,Cable,Copper household wire,CBL-CU,102.4,Pune,2026-02,low_light,cluttered_yard,False,train
